,day - close
0,2022-04-25:9.753
1,2022-04-26:9.753
2,2022-04-27:9.753
3,2022-04-28:9.656
4,2022-04-29:9.158
5,2022-04-30:9.314
6,2022-05-01:9.373
7,2022-05-02:9.148
8,2022-05-03:9.148
9,2022-05-04:9.148
