,day - close
0,2022-04-25:165.688
1,2022-04-26:165.688
2,2022-04-27:165.688
3,2022-04-28:165.488
4,2022-04-29:167.609
5,2022-04-30:167.454
6,2022-05-01:166.717
7,2022-05-02:162.502
8,2022-05-03:162.502
9,2022-05-04:162.502
