,day - close
0,2022-04-25:165.282
1,2022-04-26:165.282
2,2022-04-27:165.282
3,2022-04-28:165.08
4,2022-04-29:167.224
5,2022-04-30:167.068
6,2022-05-01:166.322
7,2022-05-02:162.06
8,2022-05-03:162.06
9,2022-05-04:162.06
