time_created,old_sentiment,derived_sentiment,sentiment,open,close,volume,predicted_closing
2021-10-27,0.6304347826086957,0.6956521739130435,0.6630434782608695,13.368,13.309,1129200.0,13.326941002386048
2021-10-28,0.675,0.85,0.7625,13.318000000000001,13.712,1302900.0,13.302878598348308
2021-10-29,0.7333333333333333,0.3333333333333333,0.5333333333333333,13.682,13.328,1357700.0,13.606006285085112
2021-11-01,0.7142857142857143,0.7142857142857143,0.7142857142857143,13.407,13.721,1180400.0,13.37901643213256
2021-11-02,0.7857142857142857,0.2857142857142857,0.5357142857142857,13.662,13.289,1032800.0,13.58671089957715
2021-11-03,0.9,0.6,0.75,13.299000000000001,13.210000000000003,1123900.0,13.280731202577625
2021-11-04,0.6363636363636364,0.7272727272727273,0.6818181818181818,13.240000000000002,13.318,829900.0,13.20436494655319
2021-11-05,0.5833333333333334,0.8333333333333334,0.7083333333333334,13.495,13.525,975900.0,13.465085786613146
2021-11-06,0.75,0.5,0.625,13.495,13.525,975900.0,13.443539450510858
2021-11-08,0.75,0.6666666666666666,0.7083333333333334,13.594,13.583999999999998,878800.0,13.563645212412025
2021-11-09,0.625,0.75,0.6875,13.594,13.623,768800.0,13.558258628386453
2021-11-10,0.8333333333333334,0.3333333333333333,0.5833333333333334,13.583999999999998,13.623,1098500.0,13.52137021070315
2021-11-11,0.7222222222222222,0.6111111111111112,0.6666666666666666,13.692,13.741,684100.0,13.650435920404213
2021-11-12,0.6,0.9,0.75,13.761,13.761,898500.0,13.740675189639052
2021-11-13,0.5,0.0,0.25,13.761,13.761,898500.0,13.611397173025328
2021-11-14,0.5,1.0,0.75,13.761,13.761,898500.0,13.740675189639052
2021-11-15,1.0,0.5,0.75,13.839,13.8,695600.0,13.818328070571502
2021-11-16,0.8,0.2,0.5,13.771,13.466,801200.0,13.685991678887634
2021-11-17,0.8125,0.5,0.65625,13.456,13.771,1218400.0,13.412792886082991
2021-11-18,0.625,0.75,0.6875,13.78,13.584,1125700.0,13.743430882917677
2021-11-19,1.0,1.0,1.0,13.515,13.643,709000.0,13.560408958082038
2021-11-20,1.0,0.0,0.5,13.515,13.643,709000.0,13.431130941468313
2021-11-21,0.5,1.0,0.75,13.515,13.643,709000.0,13.495769949775175
2021-11-22,1.0,0.5,0.75,13.702,13.594,601900.0,13.681937754061943
2021-11-23,1.0,0.5,0.75,13.623,13.633,525400.0,13.60328932337395
