,day,close
0,2022-01-27,172.69
1,2022-01-28,169.607
2,2022-01-29,166.241
3,2022-01-30,164.62
4,2022-01-31,162.64
5,2022-02-01,162.64
6,2022-02-02,162.64
7,2022-02-03,161.895
8,2022-02-04,160.161
9,2022-02-05,160.076
